,preprocess.time_lims,preprocess.bin_width,preprocess.data_transform,preprocess.preprocessor_name,model.states,model.fit,model.samples,model.model_template_name,model.inference_func_name,data.data_dir,data.basename,data.animal_name,data.session_date,data.taste_num,data.region_name,exp.exp_name,exp.model_id,exp.save_path,exp.fit_date
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,3,bla,pretty_bla_change,d7098e2f,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_d7098e2f,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,0,bla,pretty_bla_change,d96f0db9,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_d96f0db9,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,0,bla,pretty_bla_change,03619e0c,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_03619e0c,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,0,bla,pretty_bla_change,07e60f73,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_07e60f73,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,1,bla,pretty_bla_change,5c255d9d,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_5c255d9d,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,1,bla,pretty_bla_change,52b8b01a,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_52b8b01a,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,1,bla,pretty_bla_change,029d8566,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_029d8566,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,2,bla,pretty_bla_change,e8222fd4,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_e8222fd4,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,2,bla,pretty_bla_change,8507b0b3,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_8507b0b3,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM37/AM37_4Tastes_210115_110519,AM37_4Tastes_210115_110519,AM37,110519,2,bla,pretty_bla_change,23bbbdcd,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_23bbbdcd,12-07-21
